date;Op;Hi;Lo;Vo;OT
2015-08-08 00:00:00;279742004;279928009;260709991;58533000;260997009
2015-08-09 00:00:00;261115997;267002991;260467987;23789600;265083008
2015-08-10 00:00:00;265477997;267032013;262596008;20979400;264470001
2015-08-11 00:00:00;264342010;270385986;264093994;25433900;270385986
2015-08-12 00:00:00;270597992;270673004;265468994;26815400;266376007
2015-08-13 00:00:00;266183014;266231995;262841003;27685500;264079987
2015-08-14 00:00:00;264131989;267466003;261477997;27091200;265679993
2015-08-15 00:00:00;265528992;266666992;261295990;19321100;261550995
2015-08-16 00:00:00;261865997;262440002;257040985;29717000;258506989
2015-08-17 00:00:00;258489990;260505005;257117004;21617900;257976013
2015-08-18 00:00:00;257925995;257993011;211078995;42147200;211078995
2015-08-19 00:00:00;225671005;237408997;222766006;60869200;226684006
2015-08-20 00:00:00;226899002;237365005;226899002;32275000;235350006
2015-08-21 00:00:00;235354996;236432007;231723999;23173800;232569000
2015-08-22 00:00:00;232662003;234957001;222703995;23205900;230389999
2015-08-23 00:00:00;230376007;232705002;225580002;18406600;228169006
2015-08-24 00:00:00;228112000;228139008;210442993;59220700;210494995
2015-08-25 00:00:00;210067993;226320999;199567001;61089200;221608994
2015-08-26 00:00:00;222076004;231182999;220203995;31808000;225830994
2015-08-27 00:00:00;226050003;228643005;223684006;21905400;224768997
2015-08-28 00:00:00;224701004;235218994;220925995;31336600;231395996
2015-08-29 00:00:00;231548996;233222000;227330002;17142500;229779999
2015-08-30 00:00:00;229895004;232067993;226246994;19412600;228761002
2015-08-31 00:00:00;229113998;231955994;225914993;20710700;230056000
2015-09-01 00:00:00;230255997;231216003;226860001;20575200;228121002
2015-09-02 00:00:00;228026993;230576996;226475006;18760400;229283997
2015-09-03 00:00:00;229324005;229604996;226667007;17482000;227182999
2015-09-04 00:00:00;227214996;230899994;227050995;20962400;230298004
2015-09-05 00:00:00;230199005;236143005;229442993;20671400;235018997
2015-09-06 00:00:00;234869995;242912003;234681000;25473700;239839996
2015-09-07 00:00:00;239934006;242106003;238722000;21192200;239847000
2015-09-08 00:00:00;239845993;245781006;239677994;26879200;243606995
2015-09-09 00:00:00;243414993;244416000;237820999;23635700;238167999
2015-09-10 00:00:00;238335999;241292999;235791000;21215500;238477005
2015-09-11 00:00:00;238328995;241169006;238328995;19224700;240106995
2015-09-12 00:00:00;239854996;240123993;234753998;17962600;235229004
2015-09-13 00:00:00;235242004;235934998;229332001;18478800;230511993
